time_ns,max_internal_distance_A
0.000000000000000000e+00,4.180343837855598110e+01
1.000000032849540600e-03,4.151587889036611756e+01
2.000000065699081200e-03,3.512311558157350078e+01
3.000000098548621583e-03,3.437861054102449998e+01
4.000000131398162399e-03,3.300411519434579333e+01
5.000000164247703216e-03,3.195887969646881999e+01
6.000000197097243165e-03,2.917738362761924265e+01
7.000000229946783982e-03,3.805699552834255428e+01
8.000000262796324799e-03,4.072958219333184360e+01
9.000000295645864748e-03,3.835488915249757014e+01
1.000000032849540643e-02,4.197992005460041298e+01
1.100000036134494638e-02,3.858183274870676627e+01
1.200000039419448633e-02,3.931710818573241539e+01
1.300000042704402801e-02,4.385071930032824383e+01
1.400000045989356796e-02,4.647652105389732924e+01
1.500000049274310965e-02,4.387802486747545316e+01
1.600000052559264960e-02,3.755346704462951379e+01
1.700000055844219302e-02,3.959919921271443144e+01
1.800000059129172950e-02,4.310088463742280140e+01
1.900000062414127291e-02,4.180303569596150481e+01
2.000000065699081286e-02,4.075661553556430761e+01
2.100000068984035281e-02,3.726948858082059246e+01
2.200000072268989276e-02,3.576454070243196526e+01
2.300000075553943618e-02,3.149991331272142858e+01
2.400000078838897266e-02,3.589040201946955477e+01
2.500000082123851608e-02,3.129488862532438631e+01
2.600000085408805603e-02,3.286969747302341460e+01
2.700000088693759945e-02,3.268345389859003802e+01
2.800000091978713593e-02,3.378425879221070005e+01
2.900000095263667935e-02,3.191338923262457072e+01
3.000000098548621930e-02,3.299557809294505262e+01
3.100000101833575925e-02,2.982766061155963655e+01
3.200000105118529919e-02,2.756235236323119864e+01
3.300000108403484261e-02,2.705081003543915941e+01
3.400000111688438603e-02,3.055943047950072611e+01
3.500000114973392251e-02,3.181507106090725756e+01
3.600000118258345899e-02,3.368868433885248947e+01
3.700000121543300241e-02,2.850957478257556232e+01
3.800000124828254583e-02,2.634286589746689700e+01
3.900000128113208231e-02,2.720808083701715319e+01
4.000000131398162573e-02,3.197507583869171199e+01
4.100000134683116915e-02,3.750698633472813270e+01
4.200000137968070563e-02,3.213449518103993796e+01
4.300000141253024905e-02,3.459983404923752914e+01
4.400000144537978553e-02,3.524223340108676439e+01
4.500000147822932894e-02,3.560854047935647060e+01
4.600000151107887236e-02,3.360522040578829461e+01
4.700000154392841578e-02,3.343716432837372565e+01
4.800000157677794532e-02,3.293626347140294541e+01
4.900000160962748874e-02,2.837066729086066985e+01
5.000000164247703216e-02,3.377842298197604975e+01
5.100000167532657558e-02,3.453344346168979939e+01
5.200000170817611206e-02,3.488104192287462979e+01
