time_ns,Rg_A
0.000000000000000000e+00,1.313166495508346188e+01
1.000000032849540600e-03,1.286094046504408261e+01
2.000000065699081200e-03,1.101218002349433966e+01
3.000000098548621583e-03,1.048610052736924025e+01
4.000000131398162399e-03,1.034580983616225325e+01
5.000000164247703216e-03,9.667222308527440688e+00
6.000000197097243165e-03,9.887654440940309541e+00
7.000000229946783982e-03,1.201344055209178485e+01
8.000000262796324799e-03,1.189968057084596254e+01
9.000000295645864748e-03,1.177080039955741064e+01
1.000000032849540643e-02,1.263133637581139368e+01
1.100000036134494638e-02,1.187461986962803095e+01
1.200000039419448633e-02,1.268053984912375576e+01
1.300000042704402801e-02,1.385359636244270121e+01
1.400000045989356796e-02,1.315885091903670379e+01
1.500000049274310965e-02,1.374836603023807413e+01
1.600000052559264960e-02,1.206546097762557146e+01
1.700000055844219302e-02,1.327689072337085996e+01
1.800000059129172950e-02,1.366726630248506247e+01
1.900000062414127291e-02,1.320715638472316122e+01
2.000000065699081286e-02,1.297620535146576159e+01
2.100000068984035281e-02,1.237162250496541560e+01
2.200000072268989276e-02,1.090250466763419546e+01
2.300000075553943618e-02,1.024916336405759765e+01
2.400000078838897266e-02,1.070209838669535429e+01
2.500000082123851608e-02,1.004540770319042942e+01
2.600000085408805603e-02,1.044274708315175637e+01
2.700000088693759945e-02,1.103089697475203934e+01
2.800000091978713593e-02,1.101246150749133079e+01
2.900000095263667935e-02,1.019617930276455553e+01
3.000000098548621930e-02,9.753120011192967453e+00
3.100000101833575925e-02,9.629065853347366755e+00
3.200000105118529919e-02,9.361576764656840410e+00
3.300000108403484261e-02,8.911691349710636700e+00
3.400000111688438603e-02,1.031604821772493885e+01
3.500000114973392251e-02,9.951326856606467430e+00
3.600000118258345899e-02,1.001513505055238262e+01
3.700000121543300241e-02,9.026559291859163281e+00
3.800000124828254583e-02,8.811264158340625485e+00
3.900000128113208231e-02,9.220738164126508707e+00
4.000000131398162573e-02,1.048961255196542908e+01
4.100000134683116915e-02,1.156777698964183720e+01
4.200000137968070563e-02,1.018486288492908720e+01
4.300000141253024905e-02,1.036186936848930884e+01
4.400000144537978553e-02,1.011512047459898866e+01
4.500000147822932894e-02,1.019279159837461890e+01
4.600000151107887236e-02,1.065781175182027063e+01
4.700000154392841578e-02,1.068686470172701952e+01
4.800000157677794532e-02,1.030263124825601828e+01
4.900000160962748874e-02,9.539256561054330064e+00
5.000000164247703216e-02,1.018478446468698095e+01
5.100000167532657558e-02,1.038884960275976255e+01
5.200000170817611206e-02,1.006762141936003552e+01
5.300000174102565548e-02,9.755988245136677506e+00
5.400000177387519890e-02,9.690642108757069551e+00
5.500000180672473538e-02,9.641270408581693374e+00
5.600000183957427186e-02,9.534783480624241747e+00
5.700000187242381527e-02,9.642386339177745569e+00
5.800000190527335869e-02,1.070293699489395145e+01
5.900000193812290211e-02,1.107982606339575682e+01
6.000000197097243859e-02,1.002985370268006626e+01
6.100000200382197507e-02,1.078857337449288423e+01
6.200000203667151849e-02,1.054338647020440156e+01
6.300000206952105497e-02,1.238098334798443823e+01
6.400000210237059839e-02,1.225843879295621086e+01
6.500000213522014181e-02,1.200042047267471723e+01
6.600000216806968523e-02,1.158893373362094614e+01
6.700000220091922865e-02,1.115585687415554439e+01
6.800000223376877206e-02,9.828719335215529540e+00
6.900000226661831548e-02,1.056076429745976775e+01
7.000000229946784502e-02,1.103020838899008638e+01
7.100000233231737456e-02,1.086574702896667510e+01
7.200000236516691798e-02,1.217055270592710770e+01
7.300000239801646140e-02,1.161306219564555775e+01
7.400000243086600482e-02,1.274202726821120457e+01
7.500000246371554824e-02,1.398541365389224644e+01
7.600000249656509166e-02,1.451152839184740984e+01
7.700000252941463508e-02,1.545325814442851708e+01
7.800000256226416462e-02,1.530205756647274384e+01
7.900000259511370804e-02,1.659437505365584542e+01
8.000000262796325146e-02,1.565869241125765754e+01
8.100000266081279487e-02,1.550839345394140345e+01
8.200000269366233829e-02,1.638220733198988199e+01
8.300000272651188171e-02,1.523014743365515677e+01
8.400000275936141125e-02,1.349227695916750136e+01
8.500000279221095467e-02,1.570756770984296757e+01
8.600000282506049809e-02,1.407307109744584928e+01
8.700000285791002763e-02,1.420316718105767251e+01
8.800000289075957105e-02,1.388511537392770023e+01
8.900000292360911447e-02,1.477406164912936859e+01
9.000000295645865789e-02,1.643707311365185930e+01
9.100000298930820131e-02,1.718059434671754104e+01
9.200000302215774473e-02,1.746317138441508732e+01
9.300000305500728814e-02,1.539897631904284481e+01
9.400000308785683156e-02,1.685449079371350578e+01
9.500000312070636110e-02,1.656782476935658366e+01
9.600000315355589064e-02,1.772616486862265717e+01
9.700000318640543406e-02,1.887658626519300853e+01
9.800000321925497748e-02,1.817126024265536088e+01
9.900000325210452090e-02,1.596550883714757951e+01
1.000000032849540643e-01,1.493751692630606165e+01
1.010000033178036077e-01,1.569541074330363450e+01
1.020000033506531512e-01,1.519930708385709828e+01
1.030000033835026807e-01,1.279744476373484652e+01
1.040000034163522241e-01,1.173776410178554563e+01
1.050000034492017675e-01,1.318087207303924657e+01
1.060000034820513110e-01,1.313931906594769394e+01
1.070000035149008544e-01,1.364644987979919932e+01
1.080000035477503978e-01,1.528169870799501417e+01
1.090000035805999273e-01,1.633306149082197933e+01
1.100000036134494708e-01,1.340574075727324121e+01
1.110000036462990003e-01,1.454461049889153301e+01
1.120000036791485437e-01,1.477902617927983542e+01
1.130000037119980871e-01,1.429253538612929297e+01
1.140000037448476305e-01,1.479169384912098195e+01
1.150000037776971740e-01,1.506463578032230188e+01
1.160000038105467174e-01,1.612466282965817754e+01
1.170000038433962608e-01,1.583741943933237728e+01
1.180000038762458042e-01,1.645241670524091759e+01
1.190000039090953476e-01,1.646066926386483331e+01
1.200000039419448772e-01,1.542270255957091685e+01
1.210000039747944206e-01,1.594777828805714748e+01
1.220000040076439501e-01,1.613842523694307474e+01
1.230000040404934936e-01,1.533283200316765793e+01
1.240000040733430370e-01,1.389537846851741598e+01
1.250000041061925804e-01,1.470022788063330310e+01
1.260000041390421099e-01,1.377499521268140725e+01
1.270000041718916672e-01,1.341887219773787088e+01
1.280000042047411968e-01,1.342515855752891518e+01
1.290000042375907263e-01,1.375120937045773672e+01
1.300000042704402836e-01,1.412192804939489754e+01
