time_ns,span1_A,span2_A,span3_A,core_i,tip1_i,tip2_i,tip3_i
0.000000000000000000e+00,2.610123252868652344e+01,2.587281990051269531e+01,2.552821350097656250e+01,4.000000000000000000e+01,3.020000000000000000e+02,2.980000000000000000e+02,3.010000000000000000e+02
1.000000032849540600e-03,2.336601257324218750e+01,2.136293220520019531e+01,2.297875595092773438e+01,4.000000000000000000e+01,3.020000000000000000e+02,2.980000000000000000e+02,3.010000000000000000e+02
2.000000065699081200e-03,1.847209167480468750e+01,1.610093116760253906e+01,1.632273864746093750e+01,4.000000000000000000e+01,3.020000000000000000e+02,2.980000000000000000e+02,3.010000000000000000e+02
3.000000098548621583e-03,1.911098670959472656e+01,1.691533660888671875e+01,1.760063934326171875e+01,4.000000000000000000e+01,3.020000000000000000e+02,2.980000000000000000e+02,3.010000000000000000e+02
4.000000131398162399e-03,1.940671539306640625e+01,1.663690376281738281e+01,1.791740608215332031e+01,4.000000000000000000e+01,3.020000000000000000e+02,2.980000000000000000e+02,3.010000000000000000e+02
5.000000164247703216e-03,1.985066413879394531e+01,1.863099670410156250e+01,1.834046745300292969e+01,4.000000000000000000e+01,3.020000000000000000e+02,2.980000000000000000e+02,3.010000000000000000e+02
6.000000197097243165e-03,1.288143825531005859e+01,1.243303871154785156e+01,1.283742904663085938e+01,4.000000000000000000e+01,3.020000000000000000e+02,2.980000000000000000e+02,3.010000000000000000e+02
7.000000229946783982e-03,2.204970741271972656e+01,2.119126129150390625e+01,2.239918327331542969e+01,4.000000000000000000e+01,3.020000000000000000e+02,2.980000000000000000e+02,3.010000000000000000e+02
8.000000262796324799e-03,2.625173950195312500e+01,2.432581329345703125e+01,2.539759826660156250e+01,4.000000000000000000e+01,3.020000000000000000e+02,2.980000000000000000e+02,3.010000000000000000e+02
9.000000295645864748e-03,2.045676803588867188e+01,1.939449501037597656e+01,2.146808815002441406e+01,4.000000000000000000e+01,3.020000000000000000e+02,2.980000000000000000e+02,3.010000000000000000e+02
