time_ns,arm_A
0.000000,25.219489
0.001000,22.426859
0.002000,18.073017
0.003000,18.613147
0.004000,18.920369
0.005000,19.526828
0.006000,11.987168
0.007000,21.676194
0.008000,25.366161
0.009000,19.896819
0.010000,25.445758
0.011000,23.706369
0.012000,26.285902
0.013000,33.905554
0.014000,33.399764
0.015000,32.016110
0.016000,22.114698
0.017000,26.932115
0.018000,30.260155
0.019000,29.949589
0.020000,28.818870
0.021000,22.771227
0.022000,17.596189
0.023000,17.854098
0.024000,10.387354
0.025000,14.098461
0.026000,11.769760
0.027000,11.724370
0.028000,11.893914
0.029000,11.132746
0.030000,15.531587
0.031000,12.530435
0.032000,4.552656
0.033000,8.918232
0.034000,20.272594
0.035000,21.066364
0.036000,23.219234
0.037000,16.983439
0.038000,11.650054
0.039000,15.611044
0.040000,15.145112
0.041000,17.097622
0.042000,15.794425
0.043000,19.471391
0.044000,18.221275
0.045000,16.620745
0.046000,17.259261
0.047000,14.123230
0.048000,10.230965
0.049000,8.063091
0.050000,8.216189
0.051000,5.819259
0.052000,8.548748
0.053000,4.804792
0.054000,4.485797
0.055000,5.931729
0.056000,9.987423
0.057000,6.617849
0.058000,6.361977
0.059000,9.042291
0.060000,9.879727
0.061000,11.542753
0.062000,16.124286
0.063000,21.677961
0.064000,13.783756
0.065000,12.158786
0.066000,8.538927
0.067000,6.368536
0.068000,7.118756
0.069000,8.759703
0.070000,7.296888
0.071000,6.563066
0.072000,14.905631
0.073000,14.101175
0.074000,15.154946
0.075000,21.392040
0.076000,26.915918
0.077000,26.537145
0.078000,22.295052
0.079000,25.155643
0.080000,24.054300
0.081000,18.204771
0.082000,24.914220
0.083000,26.133222
0.084000,22.227775
0.085000,32.718178
0.086000,33.600962
0.087000,28.683943
0.088000,35.149409
0.089000,35.314962
0.090000,35.281193
0.091000,33.942936
0.092000,36.147288
0.093000,29.099648
0.094000,35.438003
0.095000,31.066282
0.096000,36.803713
0.097000,40.790012
0.098000,43.409931
0.099000,38.655087
0.100000,36.823649
0.101000,37.798214
0.102000,33.364549
0.103000,24.189603
0.104000,22.601575
0.105000,22.308408
0.106000,19.318864
0.107000,16.368488
0.108000,30.508176
0.109000,30.420483
0.110000,15.898858
0.111000,20.851152
0.112000,25.943663
0.113000,31.715836
0.114000,34.862709
0.115000,36.099405
0.116000,33.817926
0.117000,28.508847
0.118000,29.609526
0.119000,37.224986
0.120000,30.183921
0.121000,31.337445
0.122000,33.233163
0.123000,39.626729
0.124000,27.832663
0.125000,26.763212
0.126000,26.478264
0.127000,24.724172
0.128000,24.204725
0.129000,23.900927
0.130000,25.001635
0.131000,26.877334
0.132000,25.990576
0.133000,27.954298
0.134000,34.238314
0.135000,30.975017
0.136000,31.179289
0.137000,33.710294
0.138000,26.008305
0.139000,25.569742
0.140000,20.035503
0.141000,23.800483
0.142000,22.150089
0.143000,20.499356
0.144000,18.654418
0.145000,20.919845
0.146000,22.989965
0.147000,20.519414
0.148000,20.096573
0.149000,13.448238
0.150000,12.382737
0.151000,14.511571
0.152000,22.699531
0.153000,19.478867
0.154000,21.835017
0.155000,22.206841
0.156000,23.634058
0.157000,20.587922
0.158000,17.132214
0.159000,18.351075
0.160000,18.930238
0.161000,17.764281
0.162000,23.465446
0.163000,21.295805
0.164000,17.609450
0.165000,11.299802
0.166000,9.155827
0.167000,12.224471
0.168000,9.646920
0.169000,9.558761
0.170000,12.167165
0.171000,8.221096
0.172000,6.336156
0.173000,8.955051
0.174000,10.624800
0.175000,11.658172
0.176000,12.410445
0.177000,13.568000
0.178000,18.545958
0.179000,24.320121
0.180000,21.718027
0.181000,16.429429
0.182000,18.427292
0.183000,16.024977
0.184000,22.228470
0.185000,22.432907
0.186000,26.105402
0.187000,20.123578
0.188000,19.867303
0.189000,22.022141
0.190000,22.745900
0.191000,25.267799
0.192000,28.246585
0.193000,21.663401
0.194000,14.500416
0.195000,26.177025
0.196000,30.957505
0.197000,30.601863
0.198000,27.783010
0.199000,25.891831
0.200000,31.129207
0.201000,32.826028
0.202000,32.180913
0.203000,26.782602
0.204000,32.384553
0.205000,39.263619
0.206000,37.023276
0.207000,28.811344
0.208000,34.979736
0.209000,33.106679
0.210000,31.469136
0.211000,41.612976
0.212000,33.199921
0.213000,41.637029
0.214000,34.159426
0.215000,31.001277
0.216000,25.342392
0.217000,22.081785
0.218000,21.723996
0.219000,20.136030
0.220000,22.612458
0.221000,20.191467
0.222000,22.073395
0.223000,23.548577
0.224000,20.673576
0.225000,26.030831
0.226000,19.237367
0.227000,19.817924
0.228000,11.256576
0.229000,18.976198
0.230000,14.740291
0.231000,19.949518
0.232000,21.277324
0.233000,11.945458
0.234000,11.290569
0.235000,19.575417
0.236000,18.970069
0.237000,20.428724
0.238000,26.778618
0.239000,32.679498
0.240000,30.026798
0.241000,20.906367
0.242000,24.592747
0.243000,27.149923
0.244000,30.118019
0.245000,34.195221
0.246000,31.887743
0.247000,29.893928
0.248000,36.870387
0.249000,30.629341
0.250000,28.006564
0.251000,20.344106
0.252000,23.314472
0.253000,21.257393
0.254000,19.698977
0.255000,18.640874
0.256000,25.981370
0.257000,25.536197
0.258000,21.426558
0.259000,22.399825
0.260000,24.776977
0.261000,23.804613
0.262000,17.327155
0.263000,18.772918
0.264000,15.556186
0.265000,18.387908
0.266000,29.857291
0.267000,16.018529
0.268000,15.367113
0.269000,16.097475
0.270000,16.108020
0.271000,12.988355
0.272000,18.550760
0.273000,17.347502
0.274000,19.770363
0.275000,21.334652
0.276000,22.456516
0.277000,22.516731
0.278000,22.025575
0.279000,28.787954
0.280000,26.627961
0.281000,25.731759
0.282000,27.581867
0.283000,31.618696
0.284000,30.562043
0.285000,21.409981
0.286000,21.989047
0.287000,14.949873
0.288000,13.018469
0.289000,11.294549
0.290000,14.385511
0.291000,19.737835
0.292000,13.677944
0.293000,17.780477
0.294000,18.766785
0.295000,21.088916
0.296000,20.703699
0.297000,19.372868
0.298000,18.779937
0.299000,14.373603
0.300000,21.898007
0.301000,19.053493
0.302000,17.960754
0.303000,18.997808
0.304000,18.863080
0.305000,21.005589
0.306000,19.313348
0.307000,18.539889
0.308000,25.753229
0.309000,21.152028
0.310000,21.660631
0.311000,23.839919
0.312000,20.599924
0.313000,21.146164
0.314000,16.532740
0.315000,21.542504
0.316000,16.248511
0.317000,14.442312
0.318000,18.018581
0.319000,11.514715
0.320000,11.272236
0.321000,11.321457
0.322000,12.820308
0.323000,17.831569
0.324000,12.780047
0.325000,12.779036
0.326000,13.827011
0.327000,12.810122
0.328000,20.073612
0.329000,20.912908
0.330000,30.326059
0.331000,25.998900
0.332000,33.997410
0.333000,41.382627
0.334000,41.996009
0.335000,38.049463
0.336000,29.651856
0.337000,22.123239
0.338000,28.508453
0.339000,25.347920
0.340000,27.026465
0.341000,27.516070
0.342000,42.669062
0.343000,34.522229
0.344000,45.776519
0.345000,51.774138
0.346000,49.345240
0.347000,48.032861
0.348000,42.831729
0.349000,46.354372
0.350000,45.246420
0.351000,51.051959
0.352000,46.036178
0.353000,44.414660
0.354000,41.194287
0.355000,46.059371
0.356000,43.611202
0.357000,41.771991
0.358000,50.248349
0.359000,43.855042
0.360000,46.732987
0.361000,45.284431
0.362000,49.415022
0.363000,43.842814
0.364000,45.018535
0.365000,39.528607
0.366000,37.810409
0.367000,35.537369
0.368000,24.644401
0.369000,29.597468
0.370000,28.305164
0.371000,32.253434
0.372000,33.007993
0.373000,33.165089
0.374000,42.275581
0.375000,48.897855
0.376000,58.423186
0.377000,56.262527
0.378000,57.114462
0.379000,56.410065
0.380000,58.096190
0.381000,54.085891
0.382000,53.324658
0.383000,53.507814
0.384000,52.601827
0.385000,49.022407
0.386000,47.560076
0.387000,44.544280
0.388000,38.644469
0.389000,41.255325
