time_ns,arm1_A,arm2_A,arm3_A
0.000000,25.219489,17.709360,15.453547
0.001000,22.426859,11.154728,19.840458
0.002000,18.073017,7.126511,17.054467
0.003000,18.613147,4.416296,17.818090
0.004000,18.920369,6.279461,13.864641
0.005000,19.526828,4.193768,14.411651
0.006000,11.987168,10.995468,14.992762
0.007000,21.676194,12.846709,12.201757
0.008000,25.366161,17.242153,12.398089
0.009000,19.896819,16.025240,12.318503
0.010000,25.445758,16.152097,11.663937
0.011000,23.706369,14.215370,10.742425
0.012000,26.285902,15.477465,10.721064
0.013000,33.905554,20.155928,9.577972
0.014000,33.399764,18.481956,8.625326
0.015000,32.016110,26.952494,9.144683
0.016000,22.114698,18.824277,9.136631
0.017000,26.932115,18.691707,7.046262
0.018000,30.260155,19.144336,9.529721
0.019000,29.949589,18.371587,6.729945
0.020000,28.818870,18.215585,7.914451
0.021000,22.771227,14.961088,8.040776
0.022000,17.596189,11.995207,11.673434
0.023000,17.854098,11.444002,11.486550
0.024000,10.387354,15.474846,11.164334
0.025000,14.098461,16.059770,11.997175
0.026000,11.769760,15.775228,11.451006
0.027000,11.724370,16.359453,8.162895
0.028000,11.893914,21.767013,11.971260
0.029000,11.132746,17.100297,12.933401
0.030000,15.531587,14.259105,18.821102
0.031000,12.530435,14.348792,18.762837
0.032000,4.552656,10.366834,15.543311
0.033000,8.918232,19.039251,14.816636
0.034000,20.272594,18.689887,15.979129
0.035000,21.066364,14.390178,10.922328
0.036000,23.219234,9.657796,13.120282
0.037000,16.983439,7.360674,13.016105
0.038000,11.650054,5.050654,9.791895
0.039000,15.611044,5.812549,9.236151
0.040000,15.145112,7.409925,8.900247
0.041000,17.097622,5.909408,7.085017
0.042000,15.794425,7.347657,8.556159
0.043000,19.471391,8.740253,5.936637
0.044000,18.221275,6.148733,10.734341
0.045000,16.620745,5.096619,8.283810
0.046000,17.259261,5.069905,5.436131
0.047000,14.123230,4.806385,5.058776
0.048000,10.230965,5.577904,8.532020
0.049000,8.063091,5.753118,6.832740
0.050000,8.216189,5.022698,4.619405
0.051000,5.819259,5.044039,7.132299
0.052000,8.548748,4.742087,9.058831
0.053000,4.804792,4.188369,11.646441
0.054000,4.485797,4.150344,13.086458
0.055000,5.931729,5.299583,12.687981
0.056000,9.987423,5.571025,9.251197
0.057000,6.617849,6.013142,12.914188
0.058000,6.361977,8.733305,19.601651
0.059000,9.042291,10.178145,18.396168
0.060000,9.879727,8.405220,15.736034
0.061000,11.542753,8.844272,19.163367
0.062000,16.124286,10.207709,15.264591
0.063000,21.677961,14.453807,15.135105
0.064000,13.783756,12.245495,19.568524
0.065000,12.158786,12.316794,25.901229
0.066000,8.538927,12.040685,27.469708
0.067000,6.368536,11.939662,25.527187
0.068000,7.118756,13.111199,18.723301
0.069000,8.759703,12.184030,19.991632
0.070000,7.296888,10.071618,18.345766
0.071000,6.563066,11.124993,18.093198
0.072000,14.905631,15.081055,18.185985
0.073000,14.101175,17.306865,18.104507
0.074000,15.154946,22.430838,21.881422
0.075000,21.392040,26.545923,20.994095
0.076000,26.915918,22.077436,20.057353
0.077000,26.537145,20.992045,21.188293
0.078000,22.295052,23.506618,23.047234
0.079000,25.155643,25.700506,20.997788
0.080000,24.054300,23.719550,20.979796
0.081000,18.204771,22.647545,19.545808
0.082000,24.914220,27.149446,19.407996
0.083000,26.133222,25.865737,16.947858
0.084000,22.227775,28.721650,17.771593
0.085000,32.718178,34.676044,20.284233
0.086000,33.600962,26.688884,19.035279
0.087000,28.683943,25.620279,21.211539
0.088000,35.149409,25.022986,22.381655
0.089000,35.314962,29.436540,23.311934
0.090000,35.281193,30.137209,28.871641
0.091000,33.942936,30.903726,24.094341
0.092000,36.147288,32.893606,24.081727
0.093000,29.099648,24.489597,22.936952
0.094000,35.438003,33.512079,25.274912
0.095000,31.066282,27.592283,27.623291
0.096000,36.803713,33.804743,29.900838
0.097000,40.790012,35.866147,29.284584
0.098000,43.409931,34.437989,21.202536
0.099000,38.655087,32.872326,19.582270
0.100000,36.823649,27.593871,14.401494
0.101000,37.798214,29.558566,24.773120
0.102000,33.364549,24.147011,22.840324
0.103000,24.189603,21.370458,16.175478
0.104000,22.601575,19.913502,13.621823
0.105000,22.308408,21.521576,17.479988
0.106000,19.318864,18.776349,19.000758
0.107000,16.368488,24.639362,14.069672
0.108000,30.508176,30.719515,14.318366
0.109000,30.420483,33.246345,19.019239
0.110000,15.898858,25.624007,9.649359
0.111000,20.851152,28.694967,14.574403
0.112000,25.943663,27.065731,14.736939
0.113000,31.715836,27.858638,19.513996
0.114000,34.862709,23.813176,19.499747
0.115000,36.099405,24.149253,16.367314
0.116000,33.817926,29.155254,15.073987
0.117000,28.508847,34.736756,19.614591
0.118000,29.609526,33.483840,11.233793
0.119000,37.224986,27.817394,17.827962
0.120000,30.183921,17.507655,15.422356
0.121000,31.337445,23.602451,17.238889
